,Overall_happiness_score,Most_Important_Issue,Financial_agenda_matters,Looking_at_poles_results,Yearly_ExpensesK,Married,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,Last_school_grades,Political_interest_Total_Score,Vote
0,0.772778553039,0.0,0.0,0.0,0.159359043318,0.0,0.152136060627,0.137347393001,0.205802910092,1.0,0.338167031649,0.302179033896,-0.250276396776,1.0,0.296460890545,Yellows
1,0.694642304301,0.0,0.0,0.0,-0.198631117878,1.0,0.349881954475,-0.143197472328,0.269815750981,1.0,0.162659407111,0.480571638884,-0.0109487130165,1.0,0.367549114433,Reds
2,0.600411905572,0.3,1.0,0.0,0.425960831637,0.0,0.697573216958,0.453894953916,0.604052721294,1.0,0.510136057819,0.769283341767,0.487117355949,0.4,0.61002847835,Whites
3,0.0809448176651,0.2,0.0,0.0,-0.214505926299,1.0,0.0158538321469,-0.208896204422,-0.0989297360707,1.0,0.156347435485,0.171785151921,-0.397487128239,0.6,-0.0771157659422,Blues
4,0.1044143157,0.4,0.0,0.0,-0.157468030795,1.0,0.0489748524996,-0.154156760606,-0.0607477223221,1.0,0.179608065018,0.204097001425,-0.363174278982,0.8,-0.0422814030267,Blues
5,-0.0263468078255,0.2,0.0,0.0,-0.151914679813,1.0,-0.0778413156526,-0.169030816655,-0.177480457836,1.0,0.181958915515,0.078013497927,-0.489659174656,0.6,-0.172556732051,Yellows
6,0.397661467087,0.0,0.0,0.0,-0.29460180062,1.0,-0.0542528558316,-0.289430460887,-0.096519889831,1.0,0.126405479608,0.101964464655,-0.467003472797,1.0,-0.0127785836432,Oranges
7,0.244224270519,0.2,0.0,0.0,0.347541532454,0.0,0.133839042265,0.298126713521,0.11455013406,1.0,0.455895388013,0.285053220088,-0.270992579983,0.6,0.105359518135,Greys
9,0.290984345665,0.0,0.0,0.0,0.232046954096,0.0,0.26699968315,0.21839412838,0.199658844584,1.0,0.381560713782,0.40722652179,-0.115163743982,1.0,0.199960385448,Blues
10,0.345394385057,0.0,0.0,0.0,0.173177071162,0.0,0.230952530528,0.161607182983,0.175305470809,1.0,0.346214615979,0.374702340159,-0.158776206497,1.0,0.191719050298,Reds
11,0.312011119536,0.4,0.0,0.0,0.287398723533,0.0,0.138220583779,0.246514124366,0.121597057481,1.0,0.416361270297,0.289164567452,-0.266091150163,0.8,0.128276315653,Greys
12,0.132206155501,0.2,0.0,0.0,-0.208395795152,1.0,0.049345530629,-0.19838014109,-0.0633307830162,1.0,0.158762095083,0.204456275112,-0.362798753358,0.6,-0.0359432756152,Blues
13,0.828081501195,0.3,1.0,0.0,0.491079329605,0.0,0.676932299179,0.507307719086,0.647812739496,1.0,0.557493203515,0.752903451617,0.454976907536,0.4,0.685604814073,Whites
14,0.0812710449355,1.0,0.0,0.0,-0.216876480153,1.0,0.00637688629763,-0.212429739852,-0.106021719025,1.0,0.155415599552,0.162462070931,-0.407131681429,0.9,-0.0833623875217,Yellows
15,0.420544795137,0.0,0.0,0.0,0.234480603974,0.0,0.326518386335,0.229757192367,0.269507123398,1.0,0.383058874485,0.460092973452,-0.040802999533,1.0,0.286594708552,Reds
16,0.679373475796,1.0,0.0,0.0,-0.281062715725,1.0,0.313098345063,-0.220585413969,0.22642361527,1.0,0.131243438026,0.448261299549,-0.0579482987661,0.9,0.331287455516,Reds
17,0.251810571158,0.5,1.0,0.0,0.305412186145,0.0,0.395160733589,0.30209572126,0.295330395203,1.0,0.428014128191,0.519837734271,0.0483979293052,0.3,0.274996140849,Whites
18,0.223754723015,0.4,0.0,0.0,0.155869986296,0.0,0.198238246675,0.141476308786,0.123698703413,1.0,0.33614997804,0.344840566415,-0.197508226166,0.8,0.124257175043,Blues
19,0.255318987094,0.0,0.0,0.0,0.15076812772,0.0,0.219552842713,0.140351827282,0.144608864844,1.0,0.333211411695,0.364334480408,-0.172401330617,1.0,0.149341836302,Blues
20,0.493188539831,0.2,0.0,0.0,-0.270444410938,1.0,0.0540881568989,-0.251593702916,0.00473671291232,1.0,0.135101272925,0.209048467829,-0.357682156226,0.6,0.0949061617203,Oranges
21,0.139799715357,0.2,0.0,0.0,-0.155766425094,1.0,0.0595145947847,-0.151039746249,-0.0455709313341,1.0,0.180326766359,0.214292538638,-0.352064867065,0.6,-0.0222600373705,Blues
23,0.590786043006,0.3,1.0,0.0,-0.0714778153217,1.0,0.322970227784,-0.0368205779249,0.250553374147,1.0,0.21772361014,0.456969685323,-0.0453894852215,0.4,0.322114798783,Whites
24,0.289191328937,0.4,0.0,0.0,-0.219474948711,1.0,-0.0273912693701,-0.219935413643,-0.0872225668013,1.0,0.154397372852,0.128952579475,-0.440808779744,0.8,-0.0290906469946,Greys
