,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,Most_Important_IssueInt,Looking_at_poles_resultsInt,MarriedInt,GenderInt,Voting_TimeInt,Will_vote_only_large_partyInt,Age_groupInt,Main_transportationInt,OccupationInt,Financial_agenda_mattersInt
0,Yellows,9,901.074248715,174664.625237,Education,300.358082905,No,581.521307992,No,Male,After_16:00,0.920726605225,0.100483536022,4.36548330821,2.1617977391,5.96221784363,6.10621832544,9204.0,53.9816523204,622.909383842,7061.03184761,80356.4657209,Yes,338167.031649,24.9581526528,777521.020211,43.5188635485,90525.3360492,100,45_and_up,1,1067.41954969,14,Motorcycle_or_truck,Industry_or_other,897.297946857,0,No,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0
1,Reds,4,172.175469516,23146.7282933,Education,57.3918231719,No,403.310559137,Yes,Female,By_16:00,0.502450686879,0.540302488487,3.04695728002,6.44705581246,1.48642418208,6.70615546638,6238.0,63.8991597341,710.857599931,5454.82079123,83550.4594964,Yes,162659.407111,26.6619129083,1011912.34671,45.2599217882,3361.21319017,100,30-45,0,1111.09359143,10,Public_or_other,Industry_or_other,861.981391157,0,No,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0
2,Whites,3,408.262789256,97198.9457593,Foreign_Affairs,136.087596419,No,714.238096029,No,Male,By_16:00,0.899024648592,0.0533322812989,4.17873752071,1.7617535172,3.05945344036,9.38390219351,3912.0,29.6265936457,865.494572108,8873.3701045,100227.594707,Yes,510136.057819,29.4192891163,1499705.33728,25.612407201,18665.9214955,40,30-45,1,1260.06417028,20,Public_or_other,Public_Sector,819.390491554,1,Yes,3.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0
3,Blues,4,401.755874459,52952.4869697,Financial,133.91862482,No,395.407935536,Yes,Male,By_16:00,0.778608459746,0.845698333345,3.21868825238,4.67722523957,3.4272414376,0.746177749243,4040.0,48.2218501857,562.297359763,5078.67407489,65151.4824471,Yes,156347.435485,23.7128100351,633346.647735,39.3066871446,18078.1166984,60,30-45,3,837.907520861,5,Car,Industry_or_other,584.598207041,1,No,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
4,Blues,5,210.935360674,29798.2700859,Healthcare,70.3117868914,No,423.801917194,Yes,Female,By_16:00,0.278860982507,0.654061096953,3.45470827771,0.88653633371,1.98461376131,1.85817207443,9276.0,78.7408525357,577.028055801,5392.07528355,67056.617613,Yes,179608.065018,24.021408281,666951.762391,17.3784118844,5024.05916275,80,30-45,2,859.308497519,4,Motorcycle_or_truck,Services_or_Retail,595.206111157,1,No,4.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0
5,Yellows,1,245.727791074,34939.7418426,Financial,81.9092636912,No,426.566425677,Yes,Female,After_16:00,0.956243385095,0.698686145945,0.175240505487,6.28746282542,3.88628201559,8.23766450165,4742.0,37.6313236542,520.626096988,5306.91645075,61232.1045084,Yes,181958.915515,22.8172324568,543075.735961,3.32510520238,6801.03674213,60,Below_30,3,779.272032309,1,Car,Hightech,536.103804904,0,No,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
6,Oranges,3,176.199131673,20881.6811225,Education,58.7330438908,No,355.53548291,Yes,Male,By_16:00,0.216134105809,0.425944988849,9.5809028158,6.7549661058,6.26217074227,1.59365093801,9754.0,16.7577086249,531.117151549,4617.5891322,65271.7244764,Yes,126405.479608,23.0459790755,565264.142785,64.0670569846,3518.30348858,100,45_and_up,1,877.433966054,18,Public_or_other,Services_or_Retail,727.749962739,0,No,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0
7,Greys,4,658.35475899,148173.767645,Financial,219.45158633,No,675.200257711,No,Female,By_16:00,0.975477055414,0.0666261599399,0.334809832275,4.53470560024,5.81574548502,0.664622657932,5166.0,50.7949577412,614.771717398,7981.54601191,75803.3042834,Yes,455895.388013,24.7945904866,757232.127654,32.6458658325,48388.4503291,60,Below_30,0,950.013756439,10,Foot_or_bicycle,Industry_or_other,658.39837002,5,No,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
8,Browns,8,1207.00051182,152141.832727,Financial,402.333503939,Yes,378.148553966,Yes,Male,After_16:00,0.78985440312,0.0376500010025,3.16837806487,9.57999746315,2.59731654543,9.78573188186,7634.0,55.871403194,790.938181244,5363.36190214,89437.0825147,No,142996.328866,28.1236231884,1252412.54003,94.871960301,162284.581896,60,Below_30,5,1178.64840543,15,Motorcycle_or_truck,Industry_or_other,857.978373818,2,No,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0
9,Blues,8,705.29370473,145221.386551,Education,235.097901577,No,617.706009184,No,Female,After_16:00,0.554390893783,0.068889858434,7.52933117095,4.66667683329,9.17021264089,2.40813768469,6543.0,16.8135870714,673.995403874,7525.05089959,80049.9005581,Yes,381560.713782,25.9614214533,909846.848204,73.5821741167,55516.1212273,100,45_and_up,2,1008.13311858,18,Car,Industry_or_other,679.53330835,1,No,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
