,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,Most_Important_IssueInt,Looking_at_poles_resultsInt,MarriedInt,GenderInt,Voting_TimeInt,Will_vote_only_large_partyInt,Age_groupInt,Main_transportationInt,OccupationInt,Financial_agenda_mattersInt
9000,Greys,9,222.18735398,33158.4808241,Education,74.0624513267,No,447.709739958,Yes,Female,After_16:00,0.114646084374,0.747754254844,1.55212681508,4.50214867946,4.40223469399,5.01537216129,7027.0,37.3665997293,610.943692038,5698.98478365,73307.1668431,Yes,200444.011253,24.7172751742,747693.430113,31.0249628266,5569.30914785,100,Below_30,3,960.2856425,12,Motorcycle_or_truck,Hightech,731.33069134,0,No,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
9001,Yellows,6,1005.1282382,128662.490944,Education,335.042746066,No,384.018136355,Yes,Female,After_16:00,0.919419727521,0.911178980721,1.8893093965,4.63969280245,8.64661514526,3.1165432441,6455.0,43.3156098239,541.24458475,4922.67053305,64304.3398325,Yes,147469.92905,23.264663865,586914.830688,51.751634269,112598.684438,100,45_and_up,0,840.227695007,6,Foot_or_bicycle,Industry_or_other,629.411510194,0,No,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
9002,Reds,3,107.289365713,13714.9847347,Social,35.7631219042,No,383.495176161,Yes,Male,After_16:00,0.0454720300622,0.719258632511,9.0206592693,8.0279054842,9.2797886976,2.09517745068,6300.0,65.7217591535,676.179985498,5187.31173261,79841.3971569,Yes,147068.550139,26.0034610292,915668.222506,76.3646342093,1324.76401024,70,Below_30,3,1064.90238114,20,Public_or_other,Student_or_Unemployed,835.981753142,0,No,7.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0
9003,Yellows,8,330.716038527,52708.5592925,Education,110.238679509,No,478.131265063,Yes,Male,After_16:00,0.19606564939,0.36034849612,9.29684873205,4.41739339614,1.06934505748,5.1194608002,8116.0,45.6405533943,697.199908615,5123.94658163,83524.3376106,Yes,228609.506631,26.4045433328,973516.604819,86.7422400042,12272.8051394,100,30-45,1,1101.81724894,2,Car,Services_or_Retail,853.048409362,0,No,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
9004,Yellows,8,475.734500274,83046.9912899,Environment,158.578166758,No,523.697511377,No,Male,After_16:00,0.626662588445,0.243160806829,0.179829844274,7.4257424986,0.938459322788,6.16117452737,5043.0,59.2526870314,501.488237551,6239.95158888,68744.167949,Yes,274259.083423,22.3939330523,504372.091501,91.0998628475,25315.6131391,90,30-45,3,932.453757357,12,Public_or_other,Services_or_Retail,857.489184846,2,No,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0
9005,Yellows,1,475.821464609,64111.7846525,Social,158.60715487,No,404.217481268,Yes,Male,By_16:00,0.402147436747,0.774795540376,3.76241232269,9.2703086813,6.67692901101,0.961200990714,6511.0,42.5328257959,616.744518411,5275.6638495,71299.2507383,Yes,163391.772162,24.8343415135,761817.819116,55.8131090365,25324.8367307,70,30-45,3,923.491642608,17,Public_or_other,Student_or_Unemployed,655.999655823,0,No,7.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0
9006,Yellows,10,273.234052737,33459.0633566,Financial,91.0780175791,No,367.367057892,Yes,Male,By_16:00,0.499672524398,0.923972682562,5.74835493928,5.32378526172,8.51172066294,2.8523527435,8299.0,84.7629556665,521.266585526,4716.20374997,61008.0398786,Yes,134958.555224,22.8312633362,544382.963562,12.8262541723,8396.28330371,60,30-45,3,789.821699118,20,Foot_or_bicycle,Public_Sector,567.89013271,0,No,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0
9007,Greys,8,352.650541248,51157.8718569,Social,117.550180416,No,435.200283622,Yes,Female,After_16:00,0.841635545483,0.476967625087,9.31980771013,7.66357236309,8.89931958634,8.16101076314,7008.0,70.9403558634,601.304786043,5554.61240831,72297.5132847,Yes,189399.286865,24.5215167974,724310.29718,58.0594868865,13945.5950963,70,30-45,2,949.797065794,14,Foot_or_bicycle,Hightech,730.205459986,0,No,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9008,Browns,2,1509.00543196,234446.610188,Healthcare,503.001810653,Yes,466.094962728,Yes,Male,By_16:00,0.847490868531,0.622697934508,1.56206350308,6.99227945879,8.04186955094,1.53460024856,3377.0,19.3272468867,547.666702848,5756.28303298,63365.0849214,No,217244.51428,23.4022798643,600859.300837,35.5102031725,253523.823331,80,Below_30,1,792.295057689,2,Foot_or_bicycle,Public_Sector,505.571057706,2,No,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0
9009,Yellows,2,343.859679132,46320.8665915,Environment,114.619893044,No,404.125892647,Yes,Male,By_16:00,0.394167058868,0.861436121399,3.32904873183,9.92977435701,8.90969869215,8.61667593708,8841.0,43.2867284166,589.993556026,5221.24603852,69210.2360354,Yes,163317.737107,24.2897829555,697257.205648,75.8324949536,13262.3397745,90,45_and_up,0,900.550515305,1,Foot_or_bicycle,Industry_or_other,658.287451234,1,No,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
