,Vote,Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Most_Important_Issue,Avg_Residancy_Altitude,Will_vote_only_large_party,Financial_agenda_matters
0,Yellows,0.16274974459,0.244953440387,0.793947713332,-1.0,0.142608406408,1.0,-1.0
1,Reds,-0.193796473523,0.421051691408,0.723091053719,-1.0,-0.500464005843,1.0,-1.0
2,Whites,0.428276202215,0.730680488382,0.637639660853,-0.142857142857,-0.29217549372,1.0,1.0
3,Blues,-0.209607251358,0.123590303011,0.166568893795,-0.428571428571,-0.297916232372,1.0,-1.0
4,Blues,-0.152799416576,0.153085498298,0.187851848383,0.142857142857,-0.466268014002,1.0,-1.0
5,Yellows,-0.147268464875,0.0401521524857,0.0692731276237,-0.428571428571,-0.435572322387,1.0,-1.0
6,Oranges,-0.289380061259,0.061158335916,0.453778533167,-1.0,-0.496914121822,1.0,-1.0
7,Greys,0.350173205034,0.22865943362,0.314636363114,-0.428571428571,-0.0715313510064,1.0,-1.0
9,Blues,0.235144470758,0.347242709907,0.357040020592,-1.0,-0.0301193718306,1.0,-1.0
10,Reds,0.176512037814,0.315141711967,0.406380930899,-1.0,-0.48774750661,1.0,-1.0
11,Greys,0.290272980414,0.232561318925,0.37610782821,0.142857142857,0.0613600208427,1.0,-1.0
12,Blues,-0.203521765251,0.153415597543,0.213054452355,-0.428571428571,0.123021944322,1.0,-1.0
13,Whites,0.493132046583,0.712299173607,0.844098344267,-0.142857142857,0.0661835528625,1.0,1.0
14,Yellows,-0.21196824365,0.115150817586,0.166864727995,-0.714285714286,-0.464642795659,1.0,-1.0
15,Reds,0.237568304578,0.400245780312,0.474529928488,-1.0,-0.0701666377592,1.0,-1.0
16,Reds,-0.275895585876,0.388294858092,0.709244750606,-0.714285714286,0.0849509690842,1.0,-1.0
17,Whites,0.30821378624,0.461373711023,0.321515883577,0.428571428571,-0.564415911621,1.0,1.0
18,Blues,0.159274760579,0.286008726914,0.296073867686,0.142857142857,-0.231527063005,1.0,-1.0
19,Blues,0.154193480204,0.304989971027,0.324697436796,-1.0,-0.221952579915,1.0,-1.0
20,Oranges,-0.265320109718,0.157639038926,0.540405794989,-0.428571428571,-0.497074211749,1.0,-1.0
21,Blues,-0.151104674253,0.162471433684,0.219940555728,-0.428571428571,-0.386742920944,1.0,-1.0
22,Yellows,0.175809262722,0.278305471826,0.671868094598,0.142857142857,-0.455600604445,1.0,-1.0
23,Whites,-0.0671560401783,0.397086045851,0.628910594916,-0.142857142857,-0.319134157427,1.0,1.0
24,Greys,-0.21455623136,0.0850793301955,0.355414050853,0.142857142857,-0.50903378098,1.0,-1.0
26,Greens,0.936874199281,0.957938914597,0.589431804396,-0.142857142857,-0.210915794103,1.0,1.0
27,Greys,-0.0815045716861,0.207406420181,0.474822241643,-0.428571428571,0.0339821962677,1.0,-1.0
28,Greys,-0.0735672638805,0.245893446206,0.484944340548,0.142857142857,-0.493963387289,1.0,-1.0
29,Yellows,-0.0575479832371,0.345731866762,0.73127518441,-0.428571428571,-0.324160360328,1.0,-1.0
30,Pinks,0.676814880257,0.347287353125,0.566124011332,0.714285714286,-0.251681649188,1.0,1.0
31,Yellows,-0.226021081704,0.246813352779,0.154642425559,-0.428571428571,0.206238281458,1.0,-1.0
32,Reds,-0.203555265023,0.542017090834,0.71281903626,1.0,-0.416016406181,1.0,-1.0
33,Reds,-0.256323999473,0.387228496209,0.67151276401,0.142857142857,-0.366495085818,1.0,-1.0
34,Yellows,-0.0112900565113,0.15781858827,0.554721964785,-1.0,-0.550594654479,1.0,-1.0
35,Pinks,0.78546682963,0.636435951353,0.645985966387,0.428571428571,-0.383780277213,1.0,1.0
36,Whites,-0.00663141742085,0.98067535958,0.31833495829,0.428571428571,-0.315200942147,1.0,1.0
37,Pinks,0.983594476564,0.9802178747,0.985913240796,0.714285714286,-0.615395386786,1.0,1.0
38,Whites,0.820749884736,0.967908674778,0.958600573393,0.428571428571,-0.543965119654,1.0,1.0
39,Greens,-0.0449276993982,0.75938368164,-0.0682169826691,-0.142857142857,-0.617698823629,1.0,1.0
40,Pinks,-0.655190719695,-0.773165611082,-0.305095215818,0.428571428571,-0.395773341124,1.0,1.0
42,Greys,0.333219333997,0.229400386183,0.332973248848,-0.714285714286,-0.464752007716,1.0,-1.0
43,Pinks,0.467424071836,-0.145170455438,0.875920695995,0.714285714286,-0.539348118232,1.0,1.0
44,Reds,-0.217607101481,0.410018495962,0.749024967184,-0.428571428571,-0.617728664686,1.0,-1.0
45,Oranges,-0.11350502623,0.211805536274,0.501139544307,0.142857142857,-0.41162038674,1.0,-1.0
46,Blues,0.14162360512,0.283538719781,0.292299463441,-1.0,-0.565331647432,1.0,-1.0
47,Reds,-0.238759523349,0.339751184675,0.679634748624,-1.0,-0.409661164516,1.0,-1.0
48,Greys,0.19199093214,0.155475822056,0.269123353783,-1.0,-0.219525813738,1.0,-1.0
49,Oranges,-0.167614348111,0.165388389335,0.549506302612,-0.428571428571,-0.633064379207,1.0,-1.0
50,Whites,0.88671290806,0.934929006696,0.972691418592,0.428571428571,-0.478309332655,1.0,1.0
51,Whites,-0.947122712597,-0.412264350854,-0.364182383663,0.428571428571,-0.620763270666,1.0,1.0
52,Blues,-0.189137461172,0.154742251458,0.180695494153,-0.714285714286,-0.0223365598169,1.0,-1.0
54,Reds,0.222746438581,0.297105848528,0.416670052289,1.0,-0.463836681034,1.0,-1.0
55,Blues,-0.168747895264,0.0966559388748,0.170905048164,-0.428571428571,-0.418081952631,1.0,-1.0
