,Vote,Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Most_Important_Issue,Avg_Residancy_Altitude,Will_vote_only_large_party,Financial_agenda_matters
0,Yellows,581.521307992,622.909383842,897.297946857,Education,300.358082905,Yes,No
1,Reds,403.310559137,710.857599931,861.981391157,Education,57.3918231719,Yes,No
2,Whites,714.238096029,865.494572108,819.390491554,Foreign_Affairs,136.087596419,Yes,Yes
3,Blues,395.407935536,562.297359763,584.598207041,Financial,133.91862482,Yes,No
4,Blues,423.801917194,577.028055801,595.206111157,Healthcare,70.3117868914,Yes,No
5,Yellows,426.566425677,520.626096988,536.103804904,Financial,81.9092636912,Yes,No
6,Oranges,355.53548291,531.117151549,727.749962739,Education,58.7330438908,Yes,No
7,Greys,675.200257711,614.771717398,658.39837002,Financial,219.45158633,Yes,No
8,Browns,378.148553966,790.938181244,857.978373818,Financial,402.333503939,No,No
9,Blues,617.706009184,673.995403874,679.53330835,Education,235.097901577,Yes,No
10,Reds,588.400047569,657.96329971,704.125929801,Education,62.1963835861,Yes,No
11,Greys,645.260621995,616.720424157,689.037133304,Healthcare,269.660736892,Yes,No
12,Blues,398.449614234,577.192916267,607.767656844,Financial,292.957906278,Yes,No
13,Whites,746.654674876,856.314447748,922.294151314,Foreign_Affairs,271.483168567,Yes,Yes
14,Yellows,394.227852329,558.082453121,584.745657472,Environment,70.9258285057,Yes,No
15,Reds,618.917502164,700.466566775,738.092925739,Education,219.967203649,Yes,No
16,Reds,362.275362156,694.497953891,855.080081699,Environment,278.573892469,Yes,No
17,Whites,654.227887047,730.995504047,661.827278028,Military,33.2294503911,Yes,Yes
18,Blues,579.784423764,643.413501231,649.146404047,Healthcare,159.001846958,Yes,No
19,Blues,577.244672296,652.893246483,663.41303584,Education,162.619287702,Yes,No
20,Oranges,367.561250577,579.302216804,770.926941924,Financial,58.672558555,Yes,No
21,Blues,424.648991944,581.71564508,611.199845924,Financial,100.358036812,Yes,No
22,Yellows,588.048782939,639.566287877,836.450714171,Healthcare,74.3421582024,Yes,No
23,Whites,466.608626302,698.888510164,815.039728407,Foreign_Affairs,125.902047228,Yes,Yes
24,Greys,392.934311115,543.063941263,678.722888395,Healthcare,54.1539821881,Yes,No
25,Browns,245.752562917,502.97439475,120.582206445,Financial,727.322995493,No,No
26,Greens,968.44814039,978.993559524,795.362609671,Foreign_Affairs,166.789217118,Yes,Yes
27,Greys,459.436870117,604.157389274,738.238621202,Financial,259.316819924,Yes,No
28,Greys,463.404135779,623.378848101,743.283703368,Healthcare,59.8478933527,Yes,No
29,Yellows,471.410974317,673.240848059,866.060546299,Financial,124.003042238,Yes,No
30,Pinks,838.463965448,674.017699901,783.745480435,Other,151.387021119,Yes,Yes
31,Yellows,387.203891155,623.838274254,578.653786544,Financial,324.398785715,Yes,No
32,Reds,398.432870207,771.27098295,856.861586205,Social,89.2978994431,Yes,No
33,Reds,372.057732273,693.965384006,836.273609399,Healthcare,108.008094059,Yes,No
34,Yellows,494.531847133,579.391888589,778.062443524,Education,38.4514115398,Yes,No
35,Pinks,892.770936827,818.426308455,823.550478292,Military,101.477385819,Yes,Yes
36,Whites,496.860351879,990.348753371,660.241833192,Military,127.388098545,Yes,Yes
37,Pinks,991.80010762,990.120273083,992.97789113,Other,13.9683342744,Yes,Yes
38,Whites,910.406293347,983.972726652,979.364642285,Military,40.9561889951,Yes,Yes
39,Greens,477.718908939,879.829720971,467.575635994,Foreign_Affairs,13.0980474704,Yes,Yes
40,Pinks,172.69413425,114.433269948,349.51018723,Military,96.9461544588,Yes,Yes
41,Browns,482.528463703,698.08660498,439.230470845,Education,672.882430684,No,No
42,Greys,666.726287437,615.141769093,667.537887038,Environment,70.8845658974,Yes,No
43,Pinks,733.805183847,428.070988273,938.155128439,Other,42.7005890741,Yes,Yes
44,Reds,391.409409654,705.347324549,874.907437973,Financial,13.0867728924,Yes,No
45,Oranges,443.442239749,606.354426499,751.355757834,Healthcare,90.9588078899,Yes,No
46,Blues,570.961933235,642.179913051,647.265155926,Education,32.8834661745,Yes,No
47,Reds,380.836898295,670.25393412,840.321789536,Education,91.6990431831,Yes,No
48,Greys,596.136787462,578.221847955,635.713660666,Education,163.536170918,Yes,No
49,Oranges,416.397042569,583.172451405,775.462839977,Financial,7.29261794758,Yes,No
50,Whites,943.376268027,967.50179092,986.387837029,Military,65.7623238768,Yes,Yes
51,Whites,26.7791969236,294.677093139,320.059811418,Military,11.9402350366,Yes,Yes
52,Blues,405.639250447,577.855483013,591.639222961,Environment,238.038411369,Yes,No
53,Browns,754.038978929,185.791705548,530.612969949,Education,428.991866356,No,No
54,Reds,611.509161521,648.955703065,709.254259737,Social,71.2303955369,Yes,No
55,Blues,415.830467251,548.845611869,586.759444081,Financial,88.5174926247,Yes,No
56,Yellows,603.634938481,622.831844698,853.192745807,Healthcare,67.5939837154,Yes,No
57,Reds,376.836923728,690.806071986,848.673721851,Financial,94.2312089954,Yes,No
58,Yellows,511.443154085,621.313588867,778.545341124,Education,206.166587182,Yes,No
59,Yellows,421.331164485,570.199790531,557.466239506,Financial,175.119565554,Yes,No
60,Blues,436.698803577,582.252840124,621.196018389,Social,62.3302983107,Yes,No
61,Oranges,423.73762486,617.316783369,775.730056919,Education,230.308798621,Yes,No
62,Pinks,748.915140739,731.244324706,794.15198313,Other,119.777130265,Yes,Yes
63,Whites,992.967617465,998.060956503,995.976043806,Military,72.7577678049,Yes,Yes
64,Blues,590.370123227,642.027171125,666.70086935,Education,233.45174558,Yes,No
65,Yellows,346.92810705,574.252375034,570.090181252,Social,119.085072102,Yes,No
66,Oranges,415.162675816,592.825850409,769.247867696,Financial,174.150510996,Yes,No
67,Reds,443.423299733,734.976974121,873.377352909,Healthcare,99.3999818526,Yes,No
68,Yellows,492.015023854,573.97916205,796.746887185,Financial,267.722043915,Yes,No
69,Oranges,436.426174601,572.813947108,762.946887606,Social,152.463322977,Yes,No
70,Yellows,349.441594552,598.936070429,593.638417625,Healthcare,107.486324907,Yes,No
71,Yellows,384.077506649,597.345895968,558.085089342,Social,295.363749497,Yes,No
72,Blues,436.309365495,573.207546939,614.281329066,Financial,196.571409333,Yes,No
