,Vote,Yearly_ExpensesK,Yearly_IncomeK,Overall_happiness_score,Most_Important_Issue,Avg_Residancy_Altitude,Will_vote_only_large_party,Financial_agenda_matters
9000,Greys,447.709739958,610.943692038,731.33069134,Education,74.0624513267,Yes,No
9001,Yellows,384.018136355,541.24458475,629.411510194,Education,335.042746066,Yes,No
9002,Reds,383.495176161,676.179985498,835.981753142,Social,35.7631219042,Yes,No
9003,Yellows,478.131265063,697.199908615,853.048409362,Education,110.238679509,Yes,No
9004,Yellows,523.697511377,501.488237551,857.489184846,Environment,158.578166758,Yes,No
9005,Yellows,404.217481268,616.744518411,655.999655823,Social,158.60715487,Yes,No
9006,Yellows,367.367057892,521.266585526,567.89013271,Financial,91.0780175791,Yes,No
9007,Greys,435.200283622,601.304786043,730.205459986,Social,117.550180416,Yes,No
9008,Browns,466.094962728,547.666702848,505.571057706,Healthcare,503.001810653,No,No
9009,Yellows,404.125892647,589.993556026,658.287451234,Environment,114.619893044,Yes,No
9010,Pinks,990.046317921,482.826580061,840.543004424,Military,86.998404699,Yes,Yes
9011,Yellows,418.816260539,604.454991475,654.5128894,Education,17.6707585741,Yes,No
9012,Oranges,438.454561493,579.61032793,781.075404337,Healthcare,300.414416709,Yes,No
9013,Pinks,518.803624713,495.605017291,936.338487559,Other,107.570057675,Yes,Yes
9014,Yellows,409.417739748,612.592463779,613.499900723,Environment,76.9473074233,Yes,No
9015,Oranges,435.280038709,553.463260153,740.744036777,Healthcare,138.090946055,Yes,No
9016,Yellows,524.008647062,580.944505885,770.47835057,Healthcare,192.454660331,Yes,No
9017,Yellows,407.886941563,563.361163555,621.618967659,Healthcare,69.3687286513,Yes,No
9018,Blues,445.204392949,597.717759447,617.197704609,Education,108.897174182,Yes,No
9019,Greys,458.502552244,600.192040138,714.424655444,Social,248.462067695,Yes,No
9020,Blues,590.015108848,641.258508123,658.193716866,Financial,28.1637620226,Yes,No
9021,Greens,923.332355997,843.463856088,644.277432235,Other,93.00054093,Yes,Yes
9022,Reds,601.200576448,666.209034419,685.378560662,Financial,,Yes,No
9023,Yellows,335.388883017,526.732195729,613.584922868,Education,46.6519899141,Yes,No
9024,Reds,344.12685366,675.475196358,799.668474601,Healthcare,275.432001039,Yes,No
9025,Oranges,403.520877823,585.847942123,765.347138445,Environment,125.76072912,Yes,No
9026,Yellows,408.752518121,638.237388263,616.898612561,Healthcare,34.5717062759,Yes,No
9027,Pinks,827.823105386,762.660874519,893.720386958,Other,144.865806684,Yes,Yes
9028,Yellows,397.219895141,589.307391882,605.837211585,Social,304.413555689,Yes,No
9029,Blues,590.83278868,642.09126505,670.753884821,Healthcare,46.7895240431,Yes,No
9030,Yellows,358.955310268,615.843886376,599.375783555,Education,128.00203353,Yes,No
9031,Reds,615.81508301,682.227784464,749.266283638,Healthcare,103.642266688,Yes,No
9032,Reds,387.752595949,716.014590378,833.13828246,Education,43.4726147461,Yes,No
9033,Yellows,414.642860354,600.810484563,631.368875942,Financial,43.9944029379,Yes,No
9034,Blues,425.853706488,594.028620728,615.847712466,Education,75.5796702864,Yes,No
9035,Reds,621.390289661,659.504550698,726.338152704,Healthcare,202.763351467,Yes,No
9036,Reds,371.983028772,708.616127602,809.233420884,Education,19.9854458036,Yes,No
9037,Blues,390.701548452,567.184103234,587.893009664,Financial,178.282400849,Yes,No
9038,Yellows,521.336864615,604.53090232,739.140660021,Environment,223.544518204,Yes,No
9039,Purples,669.703169377,692.622578882,849.291030953,Environment,267.177188967,No,Yes
9040,Yellows,402.056374351,615.990969142,677.222521919,Education,36.9913292933,Yes,No
9041,Reds,403.464827624,715.349004413,836.299648745,Financial,185.383079845,Yes,No
9042,Blues,399.741164121,591.20280622,597.643649128,Education,63.9596790772,Yes,No
9043,Yellows,477.780000193,708.902716812,752.272134192,Healthcare,169.138142595,Yes,No
9044,Oranges,408.708176638,553.012935954,769.198154108,Environment,94.6953063204,Yes,No
9045,Blues,386.894469896,,585.246488118,Environment,79.7655289811,Yes,No
9046,Oranges,450.881326016,613.718013936,836.829463667,Education,,Yes,No
9047,Reds,370.812255923,741.37794895,818.111693599,Education,81.6694757438,Yes,No
9048,Whites,728.71366702,822.986206055,801.72448977,Foreign_Affairs,44.1970268515,Yes,Yes
9049,Yellows,439.191214675,566.653788895,557.112390506,Financial,181.715553511,Yes,No
9050,Reds,563.675284162,635.045387349,667.846510018,Healthcare,103.875189848,Yes,No
9051,Oranges,424.155597569,597.102297327,770.277280807,Healthcare,78.430645214,Yes,No
9052,Yellows,367.907022604,608.730519994,649.660331533,Financial,138.200299772,Yes,No
9053,Pinks,821.025510785,746.466320241,818.646999302,Other,42.667036772,Yes,Yes
9054,Greys,460.235502176,591.098731377,739.972379934,Environment,101.137439553,Yes,No
9055,Yellows,472.421554371,654.021814469,777.442178592,Healthcare,235.234788243,Yes,No
9056,Browns,773.964329113,111.392215399,296.183412574,Environment,393.414047594,No,No
9057,Pinks,819.088722194,301.674047485,713.879951416,Military,192.140618957,Yes,Yes
9058,Yellows,431.310816184,631.278627858,748.755120857,Financial,79.2896744615,Yes,No
9059,Reds,314.265153144,660.517567253,825.642920357,Education,194.634467462,Yes,No
9060,Pinks,833.893968598,402.159370715,421.102125543,Other,174.91663698,Yes,Yes
9061,Yellows,380.217915349,621.88067862,571.500672286,Education,153.684796217,Yes,No
9062,Yellows,376.429637102,594.576356374,548.439581058,Healthcare,122.364522634,Yes,No
9063,Blues,575.318412498,638.611027004,666.096396615,Social,73.6819048176,Yes,No
9064,Yellows,396.108331126,580.158912802,623.188929542,Financial,33.5139051221,Yes,No
9065,Oranges,450.956081732,567.342850772,774.202431557,Healthcare,116.785360469,Yes,No
9066,Browns,830.50227564,302.577813288,936.615000655,Education,429.117812965,No,No
9067,Yellows,332.796386237,,580.57627892,Healthcare,64.1383144003,Yes,No
9068,Blues,417.646266739,574.681608378,593.516539347,Financial,100.613115558,Yes,No
9069,Reds,387.614612193,694.124838434,839.17235297,Financial,32.4621255851,Yes,No
9070,Reds,378.195166598,703.086933528,837.285429726,Social,5.88653143177,Yes,No
9071,Reds,366.337157093,714.703509974,853.135091718,Education,159.78663409,Yes,No
9072,Yellows,396.511255074,576.976176078,587.161339419,Healthcare,204.540733141,Yes,No
